C:/Users/Bowers/Documents/minecraft-worlds/mc-server/internalStorage/Dedicated_Server.txt
[2020-06-13 02:34:02 INFO] Running AutoCompaction...
[2020-06-13 02:40:02 INFO] Running AutoCompaction...
[2020-06-13 02:46:02 INFO] Running AutoCompaction...
[2020-06-13 02:52:02 INFO] Running AutoCompaction...
[2020-06-13 02:58:02 INFO] Running AutoCompaction...
[2020-06-13 03:04:02 INFO] Running AutoCompaction...
[2020-06-13 03:10:02 INFO] Running AutoCompaction...
[2020-06-13 03:16:02 INFO] Running AutoCompaction...
[2020-06-13 03:22:02 INFO] Running AutoCompaction...
[2020-06-13 03:28:03 INFO] Running AutoCompaction...
[2020-06-13 03:34:03 INFO] Running AutoCompaction...
[2020-06-13 03:40:03 INFO] Running AutoCompaction...
[2020-06-13 03:46:03 INFO] Running AutoCompaction...
[2020-06-13 03:52:03 INFO] Running AutoCompaction...
[2020-06-13 03:58:03 INFO] Running AutoCompaction...
[2020-06-13 04:04:03 INFO] Running AutoCompaction...
[2020-06-13 04:10:03 INFO] Running AutoCompaction...
[2020-06-13 04:16:03 INFO] Running AutoCompaction...
[2020-06-13 04:22:03 INFO] Running AutoCompaction...
[2020-06-13 04:28:03 INFO] Running AutoCompaction...
[2020-06-13 04:34:03 INFO] Running AutoCompaction...
[2020-06-13 04:40:04 INFO] Running AutoCompaction...
[2020-06-13 04:46:04 INFO] Running AutoCompaction...
[2020-06-13 04:52:04 INFO] Running AutoCompaction...
[2020-06-13 04:58:04 INFO] Running AutoCompaction...
[2020-06-13 05:04:04 INFO] Running AutoCompaction...
[2020-06-13 05:10:04 INFO] Running AutoCompaction...
[2020-06-13 05:16:04 INFO] Running AutoCompaction...
[2020-06-13 05:22:04 INFO] Running AutoCompaction...
[2020-06-13 05:28:04 INFO] Running AutoCompaction...
[2020-06-13 05:34:04 INFO] Running AutoCompaction...
[2020-06-13 05:40:04 INFO] Running AutoCompaction...
[2020-06-13 05:46:05 INFO] Running AutoCompaction...
[2020-06-13 05:52:05 INFO] Running AutoCompaction...
[2020-06-13 05:58:05 INFO] Running AutoCompaction...
[2020-06-13 06:04:05 INFO] Running AutoCompaction...
[2020-06-13 06:10:05 INFO] Running AutoCompaction...
[2020-06-13 06:16:05 INFO] Running AutoCompaction...
[2020-06-13 06:22:05 INFO] Running AutoCompaction...
[2020-06-13 06:28:05 INFO] Running AutoCompaction...
[2020-06-13 06:34:05 INFO] Running AutoCompaction...
[2020-06-13 06:40:05 INFO] Running AutoCompaction...
[2020-06-13 06:46:06 INFO] Running AutoCompaction...
